citizenid,name,birthdate,nationality,address,votingstatus,passportnumber,taxid,maritalstatus,criminalrecord,educationlevel,income,immigrationyear
CIT_001,Allen Novak,1968-06-16,United States,"597 Carr Creek Apt. 464, West Andrew, NE 76236,",Not Registered,460200468,UNKNOWN,Married,None,High School,42533.54,
CIT_002,Tamara Ramsey,1987-02-11,France,"3899 Medina Roads, Crystaltown, NY 04112,",Not Registered,UNKNOWN,TAX-002-36,Single,None,Masters,28175.78,
CIT_003,David Williams,1937-12-15,India,"03064 Eric Ferry, Port Rebecca, AZ 09961,",Registered,E48182721,TAX-003-03,Widowed,None,High School,143299.35,1986.0
CIT_004,Desiree Willis,1991-03-24,United States,"773 Perry Flats, East Michael, WY 77221,",Registered,O98365870,TAX-004-11,Married,None,Doctorate,105629.33,
CIT_005,Terry Gill,2000-10-15,France,"214 Michael Crescent Suite 393, New Paulport, TN 16258",Not Registered,R72171677,TAX-005-00,Single,Pending,PhD,117985.07,2005.0
CIT_006,William Lawrence,1987-07-02,France,"74225 Davis Unions Apt. 291, Kennethborough, PR 65314",Registered,249514851,TAX-006-40,Single,None,Masters,46901.9,
CIT_007,Joshua Booth,1935-04-04,India,"4164 Freeman Rue Suite 905, New Scottshire, KY 19947,",Registered,882073399,TAX-007-02,Married,Yes,Doctorate,89183.65,
CIT_008,Michelle Houston,2004-02-18,India,"5228 Streetevens Road Suite 196, Julialand, AL 47782,",Registered,Z46703921,TAX-008-43,UNKNOWN,None,Bachelors,73665.02,
CIT_009,Alicia Haas Dvm,1964-07-06,France,"621 Daniel Port Suite 599, Ryanview, OK 00777",Registered,V24657457,TAX-009-68,Widowed,None,Doctorate,61761.26,
CIT_010,Nicole Cox,1951-10-22,India,"042 Terrell Groves Apt. 507, West William, MN 23623,",Registered,X63651777,UNKNOWN,Widowed,None,Doctorate,106263.85,
CIT_011,Elizabeth Lee,1956-02-18,France,"61221 Mendez Ridge Apt. 804, South Joshuaport, MI 13313",Not Registered,017016783,TAX-011-67,UNKNOWN,Yes,High School,36820.38,
CIT_012,Ernest Turner,2006-07-31,United States,"68424 Watts Crest Suite 859, New Haleymouth, UT 38556",Registered,A44706123,UNKNOWN,Married,None,PhD,139269.52,
CIT_013,Brian Cook,1946-05-02,United States,"4463 Johnson Parkways, Williammouth, AS 03920,",Registered,U09117735,TAX-013-78,Widowed,None,High School,49851.21,
CIT_014,Lisa Owens,2004-01-23,France,"024 Conner Shore Suite 909, Port Kyleberg, OK 56928,",Not Registered,V97112692,TAX-014-07,Single,None,High School,61816.94,1987.0
CIT_015,Timothy Mahoney,1958-07-05,India,"81953 Katherine Street, East James, WV 51023",Registered,K01721100,TAX-015-67,UNKNOWN,None,High School,139878.43,
CIT_016,William Rodriguez,1959-02-11,India,"15815 Malone Square, Holmesshire, ND 30618,",Registered,UNKNOWN,TAX-016-57,Widowed,None,Doctorate,65796.29,
CIT_017,Melissa Ramos,1997-08-16,India,"276 Jennifer Road Suite 616, West Mary, CA 60242",Registered,792689374,TAX-017-09,Single,Yes,PhD,33169.3,1971.0
CIT_018,David Reyes,1965-01-08,United States,"4984 Susan Greens, Lake Melissa, WY 43161",Registered,UNKNOWN,TAX-018-52,UNKNOWN,None,Bachelors,57171.05,
CIT_019,Gabriel Mason Jr.,1944-01-01,India,"9738 Mathis Crest, Aliciaton, ME 81474,",Registered,B68660020,TAX-019-93,Married,None,Masters,103732.87,
CIT_020,Brian Fernandez,1985-04-17,France,"85773 Peter Turnpike Suite 396, New Peggy, AS 70062",Registered,680185893,TAX-020-94,Widowed,Pending,High School,69043.2,
CIT_021,Mark Strickland,1980-01-16,India,"050 Loretta Parks Apt. 355, Danielbury, MH 86416",Registered,M30326905,TAX-021-45,Married,None,Bachelors,53868.8,1956.0
CIT_022,Sabrina Hernandez,1979-12-22,France,"007 Good Skyway Apt. 182, North Erin, AL 95116",Registered,UNKNOWN,TAX-022-30,Married,None,High School,95421.08,1974.0
CIT_023,Sarah King,1970-09-08,United States,"50230 Joshua Isle Apt. 566, Lake Mitchellborough, KS 43917",Registered,UNKNOWN,TAX-023-17,Single,None,Masters,145029.63,
CIT_024,Mark Payne,1997-08-21,India,"86345 Mccoy Route Apt. 226, New Paige, ID 86798",Not Registered,Y00267928,TAX-024-16,Widowed,None,High School,18638.51,
CIT_025,Christopher Small,1956-07-01,India,"7779 Fields Manor, Herrerastad, GA 69867",Registered,M10831218,TAX-025-10,Single,None,Doctorate,44102.78,
CIT_026,Sara Smith,1951-05-04,France,"9569 Williams Points Suite 890, Donnaberg, PA 61098",Registered,I84284356,TAX-026-60,Single,None,High School,90966.6,1973.0
CIT_027,Robert Blake,1976-10-09,India,"15177 Carl Highway Apt. 633, Schmidtchester, KS 69877",Registered,260844446,TAX-027-43,Married,Yes,Bachelors,75541.19,1996.0
CIT_028,Brian Hancock,1969-10-13,United States,"188 Le Point Suite 436, Brayland, WA 78972",Registered,548950525,TAX-028-28,Widowed,Pending,Bachelors,17630.23,
CIT_029,Nicholas Thompson,2001-09-04,United States,"12635 Solomon Branch Suite 003, Port Gregory, SC 10655,",Registered,W05794857,TAX-029-42,Divorced,None,Masters,36842.95,
CIT_030,Elizabeth Potter,1935-03-31,United States,"345 Juan Bridge, Michaelfort, UT 54145",Registered,H67417665,TAX-030-26,Married,None,PhD,49301.19,
CIT_063,James Green,1939-07-22,United States,"07114 Johnson Spring, Jonathanville, AZ 66791,",Registered,744748835,TAX-031-90,Divorced,None,PhD,62826.07,
CIT_032,Karen Perez,1941-06-09,United States,"5678 Stanley Mission, West Alex, DC 14853",Not Registered,Y52366739,UNKNOWN,Divorced,None,PhD,60187.04,
CIT_033,Barbara Hudson,1990-09-17,India,"USNV Horton, FPO AA 33271",Not Registered,F04179039,TAX-033-94,UNKNOWN,Pending,PhD,14214.93,
CIT_034,Kenneth White,1942-03-14,United States,"51191 Short Passage Suite 706, Mckinneyborough, OR 01530",Not Registered,R26988177,TAX-034-72,Single,Pending,High School,70957.67,
CIT_035,Melissa Lawson,1989-07-30,India,"12799 Ryan Spur, Trevinobury, HI 05133",Registered,H22862824,TAX-035-68,UNKNOWN,None,Doctorate,51412.31,2017.0
CIT_036,Bianca Romero,1989-09-28,France,"691 Timothy Parkway Apt. 832, Hatfieldstad, MI 07476",Registered,322524765,TAX-036-67,Married,Yes,High School,137828.92,
CIT_037,Cole Scott,1944-07-15,India,"036 Renee Stream, Reyesmouth, GU 90023",Not Registered,UNKNOWN,TAX-037-09,Widowed,None,Masters,94605.85,1976.0
CIT_038,Roberto Cummings,2023-03-11,India,"9325 Anderson Island Apt. 445, Foxview, MS 12136,",Registered,V07769485,TAX-038-87,Divorced,Pending,Bachelors,13351.6,1975.0
CIT_099,Adrian Perez,1972-10-17,France,"341 Edward Estates Suite 969, South Ryan, SD 27153",Registered,D61430362,TAX-039-48,Single,None,Masters,37334.42,
CIT_040,Dillon Good,1971-10-28,India,"PSC 9901, Box 7394, APO AE 42889,",Not Registered,D35879090,TAX-040-15,Single,None,Doctorate,79041.1,
CIT_041,Michael Rhodes,1937-01-31,France,"0089 Ryan Plain Suite 553, New Lauraview, OH 66864",Not Registered,718598899,TAX-041-06,Divorced,None,Bachelors,87213.71,
CIT_042,Travis Armstrong,1997-06-08,United States,"53401 Douglas Drive, Davidfurt, ID 82151,",Not Registered,822797495,TAX-042-74,Single,None,High School,58337.19,
CIT_043,Stephanie Baker,1978-10-13,United States,"320 Reed Springs, North Latasha, FL 20781",Not Registered,845718051,TAX-043-60,Divorced,None,Masters,129818.43,
CIT_044,Rebecca Forbes,2003-03-27,France,"Unit 1611 Box 1955, DPO AP 69780",Not Registered,UNKNOWN,TAX-044-15,Divorced,Pending,High School,17369.41,
CIT_045,Anthony Marquez,1997-05-19,France,"PSC 1039, Box 4671, APO AE 32255",Not Registered,855236965,TAX-045-11,Married,Yes,Doctorate,52771.33,
CIT_046,Robert Gordon,2002-07-14,United States,"629 Crawford Common Apt. 753, Shortstad, CT 87265",Registered,UNKNOWN,TAX-046-91,Widowed,None,Doctorate,64427.83,
CIT_047,Jeffrey Robinson,1934-04-11,India,"056 Michael Curve Suite 729, East Brandonhaven, RI 39950",Registered,C82802084,TAX-047-59,Divorced,None,Masters,145433.14,1925.0
CIT_048,Matthew Taylor,1981-06-13,India,"764 Kendra Meadow Apt. 090, East Rebeccamouth, CO 01358",Not Registered,H81441727,TAX-048-10,Single,None,Bachelors,107500.36,
CIT_049,Dana Rocha,1976-04-26,France,"118 Taylor Dam, New Melvinport, WY 71183",Registered,224668929,TAX-049-92,Married,Pending,PhD,69465.37,
CIT_050,Kevin Patel,1978-11-11,India,"0414 David Groves, Dudleyside, NE 53734",Registered,897355282,TAX-050-93,Divorced,Pending,High School,49151.43,
CIT_051,Sara Gibbs,1947-07-04,United States,"9441 Kaitlyn Views, Johnnymouth, NV 29447",Not Registered,319346814,TAX-051-96,Single,None,High School,49913.53,
CIT_052,Scott Spencer,2005-06-18,India,"3506 Cody Haven, North Christopher, SC 33917,",Registered,L42346933,TAX-052-90,Single,None,High School,101124.51,1961.0
CIT_074,Jenny Serrano,1981-12-13,India,"5553 Jessica Centers, Brianamouth, NE 86097",Registered,W10840947,TAX-053-38,Single,None,PhD,111629.09,
CIT_054,Nicholas Bailey,2001-12-14,India,"38841 John Lock Apt. 401, East Leonard, SD 43298",Registered,208427605,TAX-054-02,Married,None,PhD,69320.59,
CIT_055,Bradley Lane Phd,2006-02-26,France,"3705 Juan Plain Suite 264, North Nathaniel, KY 58941",Registered,N41739552,TAX-055-28,Married,Yes,Masters,136130.01,
CIT_056,Shelley Russell,1969-01-01,France,"740 Castro Gateway Suite 111, Patrickport, OH 51563",Not Registered,UNKNOWN,TAX-056-13,UNKNOWN,None,High School,130699.28,1986.0
CIT_057,Brandy Pierce,1970-11-18,United States,"74036 Mcdonald Turnpike, New Benjamin, PA 93677",Not Registered,UNKNOWN,TAX-057-15,Single,None,Masters,52837.94,
CIT_058,Rodney Costa,1946-11-12,France,"4702 Campbell Union, West Robertmouth, LA 65916",Not Registered,UNKNOWN,TAX-058-06,Divorced,None,Doctorate,93440.41,
CIT_039,Heather Murphy,1995-05-28,France,"7991 Ward Neck, Latashaberg, MH 41027",Not Registered,M08014616,TAX-059-07,Married,Yes,Masters,15324.57,
CIT_060,David Marsh,1965-11-03,India,"48205 Gina Alley, Stewartburgh, WI 15935",Registered,844279544,TAX-060-08,Married,None,Bachelors,34502.69,
