ID,CustomerID,Product_Category,Purchase_Date,Price,Quantity,Product_Description,Country,Phone_Number,Email
1,CUST_001,Electronics,Mar 05 2024,65.58,11.0,"Today, federal, claim, report, consider, public. - paper",USA,250518 1271,eric82@example.com
2,CUST_002,Electronics,May 29 2024,335.85,1.0,Alone appear example.,Canada,891.222.8992x0833,allentodd@example.org
3,CUST_003,Electronics,May 28 2024,106.92,19.0,"DIRECTION, SECURITY, WHO, GROUND, TRIP, ROOM. - SOMETHING",United Kingdom,(926)729-9917x4080,oschultz@example.com
4,CUST_004,Clothing,Jun 30 2024,389.7,6.0,"Answer, huge, six, new, tough. - picture",Canada,(421)698-4215x479,ajohnson@example.org
5,CUST_005,Furniture,14/10/2024,140.78,14.0,Recent last economic establish understand.,Canada,294283 6286,andersonsheriexample.org.
6,CUST_006,Furniture,May 08 2024,343.62,10.0,Possible involve expect.,USA,941-790-9863,yolandalamb@example.org
7,CUST_007,Sports,25/03/2024,234.11,1.0,Score strategy few where financial whatever.,UK,275661 4254x47270,djordan@example.com
8,CUST_008,Grocery,09/01/2025,194.49,13.0,Once early trial.,UK,766 551 5418x93115,raymondroberts@example.org
9,CUST_009,Electronics,20/01/2025,491.71,5.0,"Meet, hotel, PM. - land",CAN,780 203 5077x0447,heather11example.com.
10,CUST_010,Sports,04/10/2024,399.44,5.0,Successful gas Democrat article teacher.,usa,965.558.3567,isullivan@example.com
11,CUST_011,Electornics,Feb 15 2025,394.14,14.0,Author sport leader plant mother.,USA,001-917-479-0070,reyeskristen@example.org
12,CUST_012,Electronics,2025-01-02,224.35,16.0,FISH ARGUE AGREE INTERVIEW.,usa,+1 237 525 1236x9171,hensleytodd@example.org
13,CUST_013,Grocery,30/01/2025,490.03,19.0,Source author which everyone.,United Kingdom,001 504 954 1510x46208,juan38@example.net
14,CUST_014,nan,06/03/2024,216.81,,Forget present certain.,Canada,001 805 802 3456x11647,sedwards@example.net
15,CUST_015,Clothing,2024-12-03,188.48,5.0,Address attack test learn training administration.,UK,9936763314,chasedanielle@example.org
16,CUST_016,nan,Oct 07 2024,492.03,14.0,Drive ten success including less usually material.,CAN,+1-384-227-1398x26110,katherinemoore@example.com
17,CUST_017,Furniture,27/12/2024,358.63,16.0,"Will, fill, girl, million, change. - voice",UK,673 466 5684x97833,fgarcia@example.com
18,CUST_018,Books,2025-01-31,359.12,7.0,Back within score few.,United Kingdom,+1-903-236-5135x57377,michael65@example.org
19,CUST_019,nan,2024-06-21,-199.99,4.0,Note skill rise us during.,United Kingdom,001-640-397-6011x569,ichapman@example.com
20,CUST_020,Clothing,24/10/2024,307.54,,"Same, structure, pull. - doctor",usa,001-494-489-7833,charrington@example.org
21,CUST_021,Electornics,Dec 15 2024,395.37,1.0,"Growth, positive, memory, message. - hard",CAN,683 919 9811x0588,walljessica@example.com
22,CUST_022,Grocery,19/10/2024,265.01,6.0,"Measure, put, air, trial. - recently",United Kingdom,001 216 457 5944x6338,laura02@example.net
23,CUST_023,Grocery,Dec 30 2024,233.13,3.0,Contain low city decision many feeling view.,United Kingdom,4632654289,hpreston@example.net
24,CUST_024,Sports,2024-11-13,496.89,14.0,Close never cold get especially section.,CAN,(703)858-9463,bshelton@example.org
25,CUST_025,Grocery,Mar 05 2024,211.03,12.0,Land pick rich project value up.,USA,408760 0722,bsmith@example.com
26,CUST_026,Electronics,08/08/2024,141.24,,Way ok while five.,Usa,993.516.7825x61018,nwarren@example.net
27,CUST_027,Electronics,19/08/2024,454.16,18.0,MEETING EASY DRIVE MEDICAL.,usa,+1-643-286-1865x0215,tonya35@example.net
28,CUST_028,nan,28/07/2024,166.88,4.0,"Recent, economy, include, Republican, none. - analysis",United Kingdom,(322)355-6424,jessicaturner@example.org
29,CUST_029,nan,2024-11-07,283.72,1.0,Fall natural although itself business recently.,Usa,972-746-8016,kim21@example.com
30,CUST_030,Grocery,Apr 08 2024,344.67,8.0,Reach she perhaps start.,CAN,403601 9656x641,fmartinez@example.net
