CitizenID,Name,BirthDate,Nationality,Address,VotingStatus,PassportNumber,TaxID,MaritalStatus,CriminalRecord,EducationLevel,Income,ImmigrationYear
CIT_001,Allen Novak,1968-06-16,USA,"597 Carr Creek Apt. 464; West Andrew; NE 76236,",No,460200468,,Married,No,HS,42533.54,
CIT_002,TAMARA RAMSEY,1987-02-11,FRANCE,"3899 Medina Roads; Crystaltown; NY 04112,",No,INVALID_our,TAX-002-36,S,No,Masters,28175.78,
CIT_003,David Williams,1937-12-15,Bharat,"03064 Eric Ferry; Port Rebecca; AZ 09961,",Y,E48182721,TAX-003-03,Widowed, ,High School,143299.35,1986.0
CIT_004,Desiree Willis,1991-03-24,USA,"773 Perry Flats; East Michael; WY 77221,",Y,O98365870,TAX_004_11,Married,No,Doctorate,105629.33,
CIT_005,Terry Gill,2000-10-15,FR,"214 Michael Crescent Suite 393, New Paulport, TN 16258",N,R72171677,TAX-005-00,S,Pending,PhD,117985.07,2005.0
CIT_006,William Lawrence,1987-07-02,FRANCE,"74225 Davis Unions Apt. 291, Kennethborough, PR 65314",Registered,249514851,TAX-006-40,S, ,Masters,46901.9,
CIT_007,JOSHUA BOOTH,1935-04-04,Bharat,"4164 Freeman Rue Suite 905; New Scottshire; KY 19947,",Y,882073399,TAX-007-02,Married,Yes,Doctorate,89183.65,
CIT_008,MICHELLE HOUSTON,2004-02-18,Bharat,"5228 Streetevens Road Suite 196; Julialand; AL 47782,",Registered,Z46703921,TAX-008-43,Unknown, ,Bachelors,73665.02,
CIT_009,Alicia Haas DVM,1964-07-06,FRANCE,"621 Daniel Port Suite 599, Ryanview, OK 00777",Registered,V24657457,TAX-009-68,Widowed, ,Doctorate,61761.26,
CIT_010,NICOLE COX,1951-10-22,Bharat,"042 Terrell Groves Apt. 507; West William; MN 23623,",Yes,X63651777,,Widowed,None,Doctorate,106263.85,
CIT_011,Elizabeth Lee,1956-02-18,FRANCE,"61221 Mendez Ridge Apt. 804, South Joshuaport, MI 13313",No,017016783,TAX_011_67,Unknown,Yes,HS,36820.38,
CIT_012,Ernest Turner,2006-07-31,America,"68424 Watts Crest Suite 859, New Haleymouth, UT 38556",Yes,A44706123,,Married,No,PhD,139269.52,
CIT_013,BRIAN COOK,1946-05-02,USA,"4463 Johnson Parkways; Williammouth; AS 03920,",Y,U09117735,TAX-013-78,Widowed,None,High School,49851.21,
CIT_014,LISA OWENS,2004-01-23,France,"024 Conner Shore Suite 909; Port Kyleberg; OK 56928,",No,V97112692,TAX-014-07,Single, ,High School,61816.94,1987.0
CIT_015,Timothy Mahoney,1958-07-05,Bharat,"81953 Katherine Street, East James, WV 51023", ,K01721100,TAX-015-67,Unknown,None,High School,139878.43,
CIT_016,William Rodriguez,1959-02-11,India,"15815 Malone Square; Holmesshire; ND 30618,", ,INVALID_value,TAX-016-57,Widowed,No,Doctorate,65796.29,
CIT_017,MELISSA RAMOS,Aug 16 1997,IND,"276 Jennifer Road Suite 616, West Mary, CA 60242", ,792689374,TAX_017_09,S,Yes,PhD,33169.3,1971.0
CIT_018,DAVID REYES,1965-01-08,America,"4984 Susan Greens, Lake Melissa, WY 43161",Y,INVALID_community,TAX-018-52,Unknown,None,Bachelors,57171.05,
CIT_019,Gabriel Mason Jr.,1943-13-32,Bharat,"9738 Mathis Crest; Aliciaton; ME 81474,",Registered,B68660020,TAX_019_93,Married, ,Masters,103732.87,
